episode,score
3.580000000000000000e+02,4.201456640188494873e+01
3.590000000000000000e+02,4.223086459715089092e+01
3.600000000000000000e+02,4.224220435873131407e+01
3.610000000000000000e+02,4.222618036014331011e+01
3.620000000000000000e+02,4.248351888084491890e+01
3.630000000000000000e+02,4.225143420854006848e+01
3.640000000000000000e+02,4.238190326738239833e+01
3.650000000000000000e+02,4.210347156187573603e+01
3.660000000000000000e+02,4.241840804460494496e+01
3.670000000000000000e+02,4.242187939647474337e+01
3.680000000000000000e+02,4.230309163878307999e+01
3.690000000000000000e+02,4.226412164807236849e+01
3.700000000000000000e+02,4.202537847245577041e+01
3.710000000000000000e+02,4.235447844334198919e+01
3.720000000000000000e+02,4.226267652487000248e+01
3.730000000000000000e+02,4.244687893540280754e+01
3.740000000000000000e+02,4.233871646722701598e+01
3.750000000000000000e+02,4.244249794897185524e+01
3.760000000000000000e+02,4.245823660651576148e+01
3.770000000000000000e+02,4.232185337532820313e+01
3.780000000000000000e+02,4.260726285398558844e+01
3.790000000000000000e+02,4.275147337366956890e+01
3.800000000000000000e+02,4.242016835748683690e+01
3.810000000000000000e+02,4.250932181546686195e+01
3.820000000000000000e+02,4.257222709785509096e+01
3.830000000000000000e+02,4.263794639760879335e+01
3.840000000000000000e+02,4.268872502579220196e+01
3.850000000000000000e+02,4.268995396657895469e+01
3.860000000000000000e+02,4.270482396642260881e+01
3.870000000000000000e+02,4.270965521198475301e+01
3.880000000000000000e+02,4.273658381928012773e+01
3.890000000000000000e+02,4.270187702045971179e+01
3.900000000000000000e+02,4.278808252120376920e+01
3.910000000000000000e+02,4.295164962731733738e+01
3.920000000000000000e+02,4.290151387213009571e+01
3.930000000000000000e+02,4.292186519756541685e+01
3.940000000000000000e+02,4.291071875047529005e+01
3.950000000000000000e+02,4.289265736624773950e+01
3.960000000000000000e+02,4.296971507010520241e+01
3.970000000000000000e+02,4.302436016856860590e+01
3.980000000000000000e+02,4.316275006933870628e+01
3.990000000000000000e+02,4.294139863752079833e+01
4.000000000000000000e+02,4.300725047835006620e+01
4.010000000000000000e+02,4.323804071093813661e+01
4.020000000000000000e+02,4.298028333112836918e+01
4.030000000000000000e+02,4.323861583851584101e+01
4.040000000000000000e+02,4.302192659270561848e+01
4.050000000000000000e+02,4.336596374828520339e+01
4.060000000000000000e+02,4.311790163917750363e+01
4.070000000000000000e+02,4.321660693628079741e+01
4.080000000000000000e+02,4.327527942909774339e+01
4.090000000000000000e+02,4.332283308694435675e+01
4.100000000000000000e+02,4.327038416597346782e+01
4.110000000000000000e+02,4.326964132198208546e+01
4.120000000000000000e+02,4.334403830307628169e+01
4.130000000000000000e+02,4.338477820523712580e+01
4.140000000000000000e+02,4.325817299937536831e+01
4.150000000000000000e+02,4.357881458155662813e+01
4.160000000000000000e+02,4.340914976329113983e+01
4.170000000000000000e+02,4.308086760757866784e+01
4.180000000000000000e+02,4.324857113790363172e+01
4.190000000000000000e+02,4.356290106738563139e+01
4.200000000000000000e+02,4.350653756287601936e+01
4.210000000000000000e+02,4.352105835649221888e+01
4.220000000000000000e+02,4.344417034910058106e+01
4.230000000000000000e+02,4.358646150217691684e+01
4.240000000000000000e+02,4.369752671826192625e+01
4.250000000000000000e+02,4.356998932532523838e+01
4.260000000000000000e+02,4.359235053970658669e+01
4.270000000000000000e+02,4.369206916082978864e+01
4.280000000000000000e+02,4.389946388445072500e+01
4.290000000000000000e+02,4.359204442353678388e+01
4.300000000000000000e+02,4.377172898490842812e+01
4.310000000000000000e+02,4.380495724249400524e+01
4.320000000000000000e+02,4.374859079943792750e+01
4.330000000000000000e+02,4.366535883653839534e+01
4.340000000000000000e+02,4.388293541313046120e+01
4.350000000000000000e+02,4.388192470742715301e+01
