episode,score
2.480000000000000000e+02,3.584924609185379296e+01
2.490000000000000000e+02,3.584769873375658733e+01
2.500000000000000000e+02,3.590644708119030071e+01
2.510000000000000000e+02,3.607185806617074775e+01
2.520000000000000000e+02,3.599213116352827058e+01
2.530000000000000000e+02,3.597134089656313449e+01
2.540000000000000000e+02,3.618874423505550197e+01
2.550000000000000000e+02,3.614047173490319409e+01
2.560000000000000000e+02,3.617024131258393282e+01
2.570000000000000000e+02,3.624679755255586855e+01
2.580000000000000000e+02,3.625508991955137361e+01
2.590000000000000000e+02,3.618427857795467872e+01
2.600000000000000000e+02,3.629841689607512478e+01
2.610000000000000000e+02,3.633810175306690127e+01
2.620000000000000000e+02,3.652313718029524381e+01
2.630000000000000000e+02,3.639437981678310763e+01
2.640000000000000000e+02,3.645701992740182362e+01
2.650000000000000000e+02,3.651969608207166829e+01
2.660000000000000000e+02,3.629012252782860060e+01
2.670000000000000000e+02,3.640636216321038887e+01
2.680000000000000000e+02,3.644798316984477538e+01
2.690000000000000000e+02,3.645943306343048107e+01
2.700000000000000000e+02,3.633469509741460968e+01
2.710000000000000000e+02,3.649346000802155032e+01
2.720000000000000000e+02,3.657739061564559790e+01
2.730000000000000000e+02,3.659029020603094295e+01
2.740000000000000000e+02,3.644158378690222122e+01
2.750000000000000000e+02,3.666523197394627687e+01
2.760000000000000000e+02,3.664701226896141151e+01
2.770000000000000000e+02,3.659117802270471032e+01
2.780000000000000000e+02,3.673965641603367516e+01
2.790000000000000000e+02,3.656303975457092292e+01
2.800000000000000000e+02,3.677695201776391798e+01
2.810000000000000000e+02,3.666004918518670763e+01
2.820000000000000000e+02,3.671614429626801268e+01
2.830000000000000000e+02,3.659837178758973408e+01
2.840000000000000000e+02,3.665507452734576077e+01
2.850000000000000000e+02,3.679684174347874404e+01
2.860000000000000000e+02,3.681850438735946796e+01
2.870000000000000000e+02,3.695489193596733912e+01
2.880000000000000000e+02,3.685940901920351820e+01
2.890000000000000000e+02,3.687720857681268427e+01
2.900000000000000000e+02,3.664984100770060138e+01
2.910000000000000000e+02,3.689185164720487364e+01
2.920000000000000000e+02,3.685556183642431449e+01
2.930000000000000000e+02,3.698657837614859289e+01
2.940000000000000000e+02,3.689058020596817755e+01
2.950000000000000000e+02,3.680547511022035678e+01
2.960000000000000000e+02,3.707195199063863100e+01
2.970000000000000000e+02,3.693861455704125518e+01
2.980000000000000000e+02,3.706933728960976993e+01
2.990000000000000000e+02,3.713695688259854677e+01
3.000000000000000000e+02,3.721292771717853043e+01
3.010000000000000000e+02,3.709951454265285520e+01
3.020000000000000000e+02,3.711034633124776860e+01
3.030000000000000000e+02,3.708623904678530891e+01
3.040000000000000000e+02,3.725802062694513950e+01
3.050000000000000000e+02,3.744113345643973645e+01
3.060000000000000000e+02,3.730164898203306478e+01
3.070000000000000000e+02,3.743213707082816910e+01
3.080000000000000000e+02,3.739769141147843357e+01
3.090000000000000000e+02,3.738000584199698295e+01
3.100000000000000000e+02,3.752636750245098085e+01
3.110000000000000000e+02,3.738082154155978287e+01
3.120000000000000000e+02,3.757467999767572309e+01
3.130000000000000000e+02,3.742048060990354230e+01
3.140000000000000000e+02,3.739952364565950660e+01
3.150000000000000000e+02,3.743936011436955624e+01
3.160000000000000000e+02,3.742476000695095451e+01
